,m2858,m260,m1196,m1210,m480,m2028,m589,m2571,m1270,m593,m1580,m1198,m608,m2762,m110,m2396,m1197,m527,m1617,m1265,m1097,m2628,m2997,m318,m858,m356,m2716,m296,m1240,m1,m1214,m2916,m457,m3578,m1200,m541,m2987,m1259,m50,m34,m2791,m780,m3175,m1193,m919,m924,m1127,m2355,m1387,m1221,m912,m1036,m1213,m1610,m377,m1291,m2000,m1136,m3114,m1307,m1704,m1721,m1968,m648,m2599,m32,m3793,m2174,m2797,m2918,m2291,m2959,m3471,m590,m1374,m1394,m2683,m592,m1784,m1573,m1304,m3418,m223,m380,m2706,m1225,m1584,m1527,m3481,m1923,m750,m2699,m39,m21,m1393,m2804,m588,m2406,m1220,m733
m2858,,0.7195046673537266,0.7036084646734612,,,0.7246919911236379,,0.7247996432023627,,0.7358460864159471,,0.7130485445824893,0.7446946576342323,0.7307800108684004,,,0.7008985571190373,0.7443739719823776,0.7609372693951981,,,,0.7280099666647449,0.7658889554720192,0.7677556563415013,,,0.7737433944992282,,,,,,,,0.7175291137158941,,0.7076389080996672,0.8067807213004453,,,,,0.7754331276022433,,,,,,0.7351671114201238,0.7131931954953861,,0.7504636219365395,,,,,0.7322669840657747,,,0.7169269041527409,,,,,,,,,0.7147743012972474,,0.7399845440937498,,,,,,,,,,,0.7002400224919287,,,0.7148520784666069,,,,,0.7405434849414889,,,,,0.7093711482677383,,,,
m260,,,0.9093061720534054,0.83337189473509,,0.7691368538096595,,0.7923747116828529,,0.760336572173429,,0.8772579928089339,,0.7928022026377768,0.7577085682975738,,0.7762548473123183,0.7914298505895994,0.7450695528611925,,,,,0.8096801622823916,0.8037456821890387,,,0.7484508877650652,0.7573264325647202,0.7411482405912088,,,0.7350591780893105,,0.7334924949022736,0.74260042290333,,,0.8158371612137231,,,,,0.7468136879705901,0.7443346515285294,,,,,0.7559712085649197,0.7734649228853667,0.742944769154043,,,,0.7787852009421847,,0.7717792527707548,0.7456229788414847,,,,,,,,,,,,,,,,,,,,,,0.7404064706371539,,,,,,,,,,0.768041629540509,,,,,,,,,
m1196,,0.9093061720534054,,0.8546074813011848,,0.7475721061234765,0.7216085685069853,0.7777734515872652,,0.7378467331970392,,0.8490952535566535,,0.7707012261917956,0.7484335262554187,,0.7639866373185611,0.7594796299564757,,,,,,0.7837078628044643,0.7691283055665824,,0.7272014736494645,0.7339164610011777,0.7418004945158925,0.7385261273396602,0.7242794594976254,,0.7385950599627719,,0.7399019179604549,0.7374556205829537,,,0.784988843480503,,,,,,,,,,,0.7551708978978209,,0.7541223706397227,0.7301371740399758,,,0.7783244075338841,,0.7449173398758542,0.7331894788612893,,,,,,,,,,,0.7204643097774399,,,,,,,,,,,,,,,,,,,,,0.7363597201651936,,,,,,,,,
m1210,,0.83337189473509,0.8546074813011848,,,0.7102332778452044,0.6982312332304735,0.7232806488626632,0.6998680926282528,0.6733247854538623,,0.7705685719753199,,0.710202850544931,0.7175957895159616,,0.6986780312459203,0.6942252223557566,,,,,,0.7195333763202307,,0.6887114162402603,0.6993757277851057,,0.6843688515852289,0.6793350449844789,,,0.7121988378074398,0.694489514087459,0.6784567157750366,,,0.6773417059698068,0.702243100714939,,,,,,,,,,,,,0.7043161381956153,,0.7070648809344039,,0.778867867445572,0.671089146640337,,0.6861932210779926,,0.6983315423970295,,,,,,0.6882924931606808,,,0.6675859610940897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m480,,0.6365117984794514,0.6329762569866586,0.6652781642221348,,0.6664098106550091,0.6808568525623696,,0.6610239439682515,,0.638804132333186,0.6518035147452814,,0.6516903371230545,0.6600564989881627,,,,,,0.6411282885515762,,,,,0.6615494072425824,0.6432972217484496,,0.6603244972817415,0.6415448815565469,0.6409273216226505,,0.6895285490354961,0.6626055601915015,0.6625993204027164,,,,,,,0.6574999034586841,,,,,,,0.6868133253308087,,,0.6838828865939585,,0.6694478177179667,0.6301631672480165,0.673165902827088,0.6608776969311404,,,,,0.6289316155278919,,,,,,,,,,,,,,,,0.6323607513598418,,,,,,0.6320868940060017,,,,,,,,,,,,,,0.6280072265888862,,
m2028,0.7246919911236379,0.7691368538096595,0.7475721061234765,,,,,0.7410291050889166,,0.7583527889533997,,0.7946062605581683,,0.7834399056983685,0.7932458126160603,,,0.8213375400500771,0.7243588757606193,,,,,0.799353562168151,0.7887166085853248,0.7858709316128223,,0.7235252465550503,,0.7247366970982196,,,0.7307364111056608,0.7478650017068746,,,,0.7384551876964883,0.772098598480528,,,,,0.7475275005790272,,,,,,0.7531790699693302,0.7261426091229064,0.7370168301614349,0.744902900428605,0.7445940976442716,,0.7400834220847751,,0.7309733834516363,,,0.7470348759482625,,,,,,,,,,,,,,,,,,,,0.734997024594453,,,,,,,,,,0.7244000765083392,,,,,,,,,
m589,,0.7128395588419614,0.7216085685069853,0.6982312332304735,0.6808568525623696,0.697499765289749,,0.7506530752715863,0.7089801215661735,0.6850262126315655,,0.7383450573682901,,0.7008525677466556,0.7165018868872695,,,,,,,,,0.701828463377375,,,0.6754116045217755,0.6866223631875186,0.8098949567811087,0.6888107658548338,0.7272152783226787,,0.7254566772063138,0.6994776819429696,0.7646887672592488,0.6782569969655705,,,,,,,,,,,,,0.690351491751987,0.679021288686352,,0.7753278921505639,0.6840650816640217,0.6790018487819162,,0.7142452501731662,0.7095842839450237,,0.6887763263658304,,,,,,,,,,,0.6831103080302775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2571,0.7247996432023627,0.7923747116828529,0.7777734515872652,0.7232806488626632,,0.7410291050889166,0.7506530752715863,,,0.7314432805699912,,0.7821046505526332,,0.7811103830225459,0.7529287736842102,,0.7459143414047921,0.7214559753655216,,,,,,0.7755430534768075,0.708280046571375,,,0.7234870446841559,0.7445507879267959,0.7144337960608211,0.7108085802366411,,,0.7506507053307601,0.7438584873723801,0.7459309569254049,,,0.7700490636025703,,,,,,,,,,,,,0.7223473293270485,,,,0.7377374910532641,,0.7462369614308009,0.7220755551207372,,0.713889576804199,,,,,0.7084049653263607,,,,0.7311947018947579,,0.7288522452342828,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m1270,,0.7266297061751803,0.7183683639055046,0.6998680926282528,,0.6786247508419729,0.7089801215661735,0.6759987412013913,,,,0.7588288643610988,,0.7176250096098276,0.7022906040209616,,0.6946841215308261,0.6934689501725866,,0.6738421332988148,0.7013878876942127,,,0.7157271718251947,,0.7042151842710347,0.73255664704805,,0.7064081552359696,0.7300391143172955,,,0.719043783185306,,,,,0.6797173919604278,,,,,,,0.671767651292471,,,,0.675490827106979,,,0.7346015551572003,,0.6754572469842481,,0.7436617364307141,0.6912080757564482,,0.7128779766117765,,,,,,,,,,0.7057874412687986,0.6985509807047224,,,,,,,,,,,,,,,,,,,,,,,,,,0.680529053002538,,,,
m593,0.7358460864159471,0.760336572173429,0.7378467331970392,,,0.7583527889533997,,0.7314432805699912,,,,0.7935226136207738,0.7269058155573203,0.7863804418754502,0.7432921459664881,,0.71797096356865,0.7889729814909963,0.7421578910510596,,,,,0.8159172512711168,0.8128150690444841,,,0.7662091442313671,0.7293683592668976,,0.740942554651963,,0.7272203140378544,,0.7409749837980708,,,,0.8019235273496463,,,,,0.791577714759049,,,,,0.7441113522313937,0.7746742540468716,0.7212230046449335,,0.7561083615775046,,,0.7210195564231274,,0.732119002419652,,,0.7356655437882049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.731476370867313,,,,,0.7233238615624663,,,,
